product_id,product_name,brand,platform,price,product_link
1000,lite sports sneakers for men,WHITE WALKERS,Amazon,486.42,https://www.amazon.com/search?q=lite+sports+sneakers+for+men
1000,lite sports sneakers for men,WHITE WALKERS,Flipkart,497.18,https://www.flipkart.com/search?q=lite+sports+sneakers+for+men
1000,lite sports sneakers for men,WHITE WALKERS,Myntra,451.73,https://www.myntra.com/search?q=lite+sports+sneakers+for+men
1000,lite sports sneakers for men,WHITE WALKERS,Ajio,518.91,https://www.ajio.com/search?q=lite+sports+sneakers+for+men
1001,lite sports sneakers for men,WHITE WALKERS,Amazon,479.03,https://www.amazon.com/search?q=lite+sports+sneakers+for+men
1001,lite sports sneakers for men,WHITE WALKERS,Flipkart,472.41,https://www.flipkart.com/search?q=lite+sports+sneakers+for+men
1001,lite sports sneakers for men,WHITE WALKERS,Myntra,542.26,https://www.myntra.com/search?q=lite+sports+sneakers+for+men
1001,lite sports sneakers for men,WHITE WALKERS,Ajio,486.03,https://www.ajio.com/search?q=lite+sports+sneakers+for+men
1002,"action athleo atg-424 light weight,comfortable,trendy,r...",action,Amazon,625.52,"https://www.amazon.com/search?q=action+athleo+atg-424+light+weight,comfortable,trendy,r..."
1002,"action athleo atg-424 light weight,comfortable,trendy,r...",action,Flipkart,620.06,"https://www.flipkart.com/search?q=action+athleo+atg-424+light+weight,comfortable,trendy,r..."
1002,"action athleo atg-424 light weight,comfortable,trendy,r...",action,Myntra,636.77,"https://www.myntra.com/search?q=action+athleo+atg-424+light+weight,comfortable,trendy,r..."
1002,"action athleo atg-424 light weight,comfortable,trendy,r...",action,Ajio,628.79,"https://www.ajio.com/search?q=action+athleo+atg-424+light+weight,comfortable,trendy,r..."
1003,trendy stylish shoe for men walking shoes for men,Hilux,Amazon,410.74,https://www.amazon.com/search?q=trendy+stylish+shoe+for+men+walking+shoes+for+men
1003,trendy stylish shoe for men walking shoes for men,Hilux,Flipkart,490.77,https://www.flipkart.com/search?q=trendy+stylish+shoe+for+men+walking+shoes+for+men
1003,trendy stylish shoe for men walking shoes for men,Hilux,Myntra,494.01,https://www.myntra.com/search?q=trendy+stylish+shoe+for+men+walking+shoes+for+men
1003,trendy stylish shoe for men walking shoes for men,Hilux,Ajio,465.36,https://www.ajio.com/search?q=trendy+stylish+shoe+for+men+walking+shoes+for+men
1004,curator casual shoes|walking shoes|lightweight running ...,COLUMBUS,Amazon,623.0,https://www.amazon.com/search?q=curator+casual+shoes|walking+shoes|lightweight+running+...
1004,curator casual shoes|walking shoes|lightweight running ...,COLUMBUS,Flipkart,705.26,https://www.flipkart.com/search?q=curator+casual+shoes|walking+shoes|lightweight+running+...
